Transaction_ID,Transaction_Narrative,Amount_Paid,Payment_Date,PO_Key
TXN7001,PAYMENT_CONFIRM_REF_20932_FOR_PO-1001_ID,29281.56,2025-10-29,PO-1001
TXN7002,PAYMENT_CONFIRM_REF_82629_FOR_PO-1002_ID,2987.02,2025-10-29,PO-1002
TXN7003,PAYMENT_CONFIRM_REF_80312_FOR_PO-1003_ID,11684.6,2025-10-29,PO-1003
TXN7004,PAYMENT_CONFIRM_REF_21929_FOR_PO-1004_ID,6083.96,2025-10-29,PO-1004
TXN7005,PAYMENT_CONFIRM_REF_77862_FOR_PO-1005_ID,23650.53,2025-10-29,PO-1005
TXN7006,PAYMENT_CONFIRM_REF_49075_FOR_PO-1006_ID,14243.34,2025-10-29,PO-1006
TXN7007,PAYMENT_CONFIRM_REF_60879_FOR_PO-1007_ID,34515.49,2025-10-29,PO-1007
TXN7008,PAYMENT_CONFIRM_REF_31868_FOR_PO-1008_ID,30942.85,2025-10-29,PO-1008
TXN7009,PAYMENT_CONFIRM_REF_89787_FOR_PO-1009_ID,12039.05,2025-10-29,PO-1009
TXN7010,PAYMENT_CONFIRM_REF_91620_FOR_PO-1010_ID,23608.53,2025-10-29,PO-1010
TXN7011,PAYMENT_CONFIRM_REF_93598_FOR_PO-1011_ID,40081.27,2025-10-29,PO-1011
TXN7012,PAYMENT_CONFIRM_REF_37900_FOR_PO-1012_ID,22152.1,2025-10-29,PO-1012
TXN7013,PAYMENT_CONFIRM_REF_79310_FOR_PO-1013_ID,4077.65,2025-10-29,PO-1013
TXN7014,PAYMENT_CONFIRM_REF_77381_FOR_PO-1014_ID,29635.74,2025-10-29,PO-1014
TXN7015,PAYMENT_CONFIRM_REF_33739_FOR_PO-1015_ID,41200.7,2025-10-29,PO-1015
TXN7016,PAYMENT_CONFIRM_REF_56629_FOR_PO-1016_ID,33122.25,2025-10-29,PO-1016
TXN7017,PAYMENT_CONFIRM_REF_80080_FOR_PO-1017_ID,16283.15,2025-10-29,PO-1017
TXN7018,PAYMENT_CONFIRM_REF_24004_FOR_PO-1018_ID,6435.64,2025-10-29,PO-1018
TXN7019,PAYMENT_CONFIRM_REF_26982_FOR_PO-1019_ID,7394.19,2025-10-29,PO-1019
TXN7020,PAYMENT_CONFIRM_REF_56046_FOR_PO-1020_ID,37391.54,2025-10-29,PO-1020
TXN7021,PAYMENT_CONFIRM_REF_21211_FOR_PO-1021_ID,3331.32,2025-10-29,PO-1021
TXN7022,PAYMENT_CONFIRM_REF_74455_FOR_PO-1022_ID,29662.0,2025-10-29,PO-1022
TXN7023,PAYMENT_CONFIRM_REF_35944_FOR_PO-1023_ID,50515.44,2025-10-29,PO-1023
TXN7024,PAYMENT_CONFIRM_REF_51197_FOR_PO-1024_ID,20277.22,2025-10-29,PO-1024
TXN7025,PAYMENT_CONFIRM_REF_58662_FOR_PO-1025_ID,31094.37,2025-10-29,PO-1025
TXN7026,PAYMENT_CONFIRM_REF_54487_FOR_PO-1026_ID,14737.03,2025-10-29,PO-1026
TXN7027,PAYMENT_CONFIRM_REF_85277_FOR_PO-1027_ID,39249.64,2025-10-29,PO-1027
TXN7028,PAYMENT_CONFIRM_REF_80902_FOR_PO-1028_ID,12313.68,2025-10-29,PO-1028
TXN7029,PAYMENT_CONFIRM_REF_92156_FOR_PO-1029_ID,24534.22,2025-10-29,PO-1029
TXN7030,PAYMENT_CONFIRM_REF_42763_FOR_PO-1030_ID,1398.33,2025-10-29,PO-1030
TXN7031,PAYMENT_CONFIRM_REF_51113_FOR_PO-1031_ID,3881.71,2025-10-29,PO-1031
TXN7032,PAYMENT_CONFIRM_REF_67323_FOR_PO-1032_ID,22201.64,2025-10-29,PO-1032
TXN7033,PAYMENT_CONFIRM_REF_79312_FOR_PO-1033_ID,31350.19,2025-10-29,PO-1033
TXN7034,PAYMENT_CONFIRM_REF_63834_FOR_PO-1034_ID,50116.4,2025-10-29,PO-1034
TXN7035,PAYMENT_CONFIRM_REF_34320_FOR_PO-1035_ID,37390.38,2025-10-29,PO-1035
TXN7036,PAYMENT_CONFIRM_REF_19905_FOR_PO-1036_ID,7198.84,2025-10-29,PO-1036
TXN7037,PAYMENT_CONFIRM_REF_48435_FOR_PO-1037_ID,24792.58,2025-10-29,PO-1037
TXN7038,PAYMENT_CONFIRM_REF_87595_FOR_PO-1038_ID,5213.78,2025-10-29,PO-1038
TXN7039,PAYMENT_CONFIRM_REF_29826_FOR_PO-1039_ID,37698.65,2025-10-29,PO-1039
TXN7040,PAYMENT_CONFIRM_REF_60637_FOR_PO-1040_ID,28906.88,2025-10-29,PO-1040
TXN7041,PAYMENT_CONFIRM_REF_13908_FOR_PO-1041_ID,16747.53,2025-10-29,PO-1041
TXN7042,PAYMENT_CONFIRM_REF_51572_FOR_PO-1042_ID,24482.34,2025-10-29,PO-1042
TXN7043,PAYMENT_CONFIRM_REF_35214_FOR_PO-1043_ID,32394.08,2025-10-29,PO-1043
TXN7044,PAYMENT_CONFIRM_REF_51993_FOR_PO-1044_ID,8533.74,2025-10-29,PO-1044
TXN7045,PAYMENT_CONFIRM_REF_62300_FOR_PO-1045_ID,23379.05,2025-10-29,PO-1045
TXN7046,PAYMENT_CONFIRM_REF_25917_FOR_PO-1046_ID,4616.38,2025-10-29,PO-1046
TXN7047,PAYMENT_CONFIRM_REF_46246_FOR_PO-1047_ID,17969.77,2025-10-29,PO-1047
TXN7048,PAYMENT_CONFIRM_REF_16264_FOR_PO-1048_ID,36366.11,2025-10-29,PO-1048
TXN7049,PAYMENT_CONFIRM_REF_38587_FOR_PO-1049_ID,37458.5,2025-10-29,PO-1049
TXN7050,PAYMENT_CONFIRM_REF_72660_FOR_PO-1050_ID,34356.24,2025-10-29,PO-1050
TXN7051,PAYMENT_CONFIRM_REF_11281_FOR_PO-1051_ID,32839.03,2025-10-29,PO-1051
TXN7052,PAYMENT_CONFIRM_REF_34071_FOR_PO-1052_ID,26264.36,2025-10-29,PO-1052
TXN7053,PAYMENT_CONFIRM_REF_42474_FOR_PO-1053_ID,15115.87,2025-10-29,PO-1053
TXN7054,PAYMENT_CONFIRM_REF_65121_FOR_PO-1054_ID,35345.8,2025-10-29,PO-1054
TXN7055,PAYMENT_CONFIRM_REF_74939_FOR_PO-1055_ID,16670.71,2025-10-29,PO-1055
