PO_Number,Vendor_Name,Order_Date,Committed_Spend,Category
PO-1001,Fast-Track Inc Global Group,2025-01-23,32535.07,Services
PO-1002,Global Logistics Global Group,2025-02-04,5974.04,Hardware
PO-1003,Apex Solutions Global Group,2025-06-09,11684.6,Hardware
PO-1004,Global Logistics Global Group,2025-10-16,6083.96,Raw Materials
PO-1005,Zenith Supplies Global Group,2025-12-01,22524.31,Logistics
PO-1006,Fast-Track Inc Global Group,2025-11-05,15825.93,Hardware
PO-1007,Fast-Track Inc Global Group,2026-01-02,38350.54,Raw Materials
PO-1008,Titan Industrial Global Group,2025-06-30,29469.38,Raw Materials
PO-1009,Apex Solutions Global Group,2025-04-20,24078.1,Services
PO-1010,Apex Solutions Global Group,2025-01-13,47217.06,Raw Materials
PO-1011,Apex Solutions Global Group,2026-01-31,38172.64,Hardware
PO-1012,Titan Industrial Global Group,2025-02-03,44304.19,Services
PO-1013,BlueSky Corp Global Group,2025-03-17,3883.48,Logistics
PO-1014,BlueSky Corp Global Group,2026-01-01,28224.51,Services
PO-1015,Apex Solutions Global Group,2025-06-04,45778.55,Raw Materials
PO-1016,Titan Industrial Global Group,2025-11-27,33122.25,Hardware
PO-1017,Titan Industrial Global Group,2025-05-03,18092.39,Logistics
PO-1018,Titan Industrial Global Group,2025-01-19,6129.18,Logistics
PO-1019,BlueSky Corp Global Group,2026-01-31,7394.19,Raw Materials
PO-1020,Fast-Track Inc Global Group,2025-03-17,41546.16,Logistics
PO-1021,Zenith Supplies Global Group,2025-01-23,3331.32,Hardware
PO-1022,Fast-Track Inc Global Group,2025-09-25,28249.52,Services
PO-1023,Titan Industrial Global Group,2025-09-18,48109.94,Hardware
PO-1024,Alpha Mfg Global Group,2025-02-21,20277.22,Logistics
PO-1025,Unknown,2025-01-08,34549.3,Services
PO-1026,Global Logistics Global Group,2025-02-01,16374.48,Logistics
PO-1027,Fast-Track Inc Global Group,2025-04-09,39249.64,Logistics
PO-1028,Global Logistics Global Group,2025-11-10,24627.37,Logistics
PO-1029,Alpha Mfg Global Group,2025-09-17,49068.43,Hardware
PO-1030,Alpha Mfg Global Group,2025-12-02,1553.7,Services
PO-1031,Alpha Mfg Global Group,2025-11-14,3881.71,Services
PO-1032,BlueSky Corp Global Group,2025-06-10,24668.49,Logistics
PO-1033,BlueSky Corp Global Group,2025-01-26,29857.32,Services
PO-1034,Global Logistics Global Group,2025-06-14,47729.9,Logistics
PO-1035,BlueSky Corp Global Group,2025-06-07,41544.87,Raw Materials
PO-1036,Titan Industrial Global Group,2025-04-07,7198.84,Hardware
PO-1037,Zenith Supplies Global Group,2026-01-16,23611.98,Hardware
PO-1038,BlueSky Corp Global Group,2025-10-08,10427.56,Raw Materials
PO-1039,BlueSky Corp Global Group,2026-01-12,35903.48,Services
PO-1040,Global Logistics Global Group,2025-01-09,28906.88,Raw Materials
PO-1041,Fast-Track Inc Global Group,2025-05-16,33495.06,Services
PO-1042,Zenith Supplies Global Group,2025-08-04,48964.69,Raw Materials
PO-1043,Titan Industrial Global Group,2026-01-31,35993.42,Hardware
PO-1044,BlueSky Corp Global Group,2025-11-15,17067.48,Logistics
PO-1045,Global Logistics Global Group,2025-04-02,46758.1,Raw Materials
PO-1046,Zenith Supplies Global Group,2026-09-01,9232.76,Hardware
PO-1047,Global Logistics Global Group,2025-08-12,19966.41,Hardware
PO-1048,Fast-Track Inc Global Group,2025-07-13,34634.39,Hardware
PO-1049,Apex Solutions Global Group,2025-10-07,37458.5,Services
PO-1050,Zenith Supplies Global Group,2025-04-15,38173.6,Logistics
PO-1051,Alpha Mfg Global Group,2025-12-10,36487.81,Services
PO-1052,Alpha Mfg Global Group,2025-07-16,26264.36,Hardware
PO-1053,BlueSky Corp Global Group,2025-04-22,14396.07,Logistics
PO-1054,Apex Solutions Global Group,2025-11-19,39273.11,Hardware
PO-1055,Fast-Track Inc Global Group,2025-01-28,15876.87,Raw Materials
PO-1056,Titan Industrial Global Group,2026-01-09,13735.82,Raw Materials
PO-1057,BlueSky Corp Global Group,2025-01-12,40619.91,Logistics
PO-1058,Unknown,2025-10-23,6493.19,Raw Materials
PO-1059,Apex Solutions Global Group,2025-05-01,3952.44,Services
PO-1060,BlueSky Corp Global Group,2025-11-12,43791.87,Raw Materials
PO-1061,BlueSky Corp Global Group,2025-08-29,4760.93,Hardware
PO-1062,Apex Solutions Global Group,2025-07-12,27629.28,Logistics
PO-1063,Global Logistics Global Group,2025-04-23,7951.79,Hardware
PO-1064,Alpha Mfg Global Group,2025-09-12,43438.04,Raw Materials
PO-1065,Alpha Mfg Global Group,2025-12-21,33324.91,Services
PO-1066,BlueSky Corp Global Group,2025-04-19,47623.76,Raw Materials
PO-1067,Zenith Supplies Global Group,2025-05-22,29306.62,Raw Materials
PO-1068,Alpha Mfg Global Group,2025-01-10,48716.74,Hardware
PO-1069,Titan Industrial Global Group,2025-05-18,41273.74,Services
PO-1070,Titan Industrial Global Group,2025-01-12,41761.99,Raw Materials
PO-1071,Fast-Track Inc Global Group,2025-02-26,36155.98,Raw Materials
PO-1072,Titan Industrial Global Group,2025-06-28,24535.68,Raw Materials
PO-1073,Alpha Mfg Global Group,2025-03-05,22684.31,Services
PO-1074,Zenith Supplies Global Group,2025-05-30,7875.05,Services
PO-1075,Global Logistics Global Group,2026-10-01,48116.65,Hardware
PO-1076,Titan Industrial Global Group,2025-07-12,32854.63,Services
PO-1077,Titan Industrial Global Group,2025-11-12,15510.53,Services
PO-1078,Alpha Mfg Global Group,2025-07-01,688.77,Services
PO-1079,Fast-Track Inc Global Group,2025-10-18,27310.49,Hardware
PO-1080,Fast-Track Inc Global Group,2025-11-06,39582.56,Hardware
PO-1081,BlueSky Corp Global Group,2025-12-21,42096.59,Hardware
PO-1082,Global Logistics Global Group,2026-01-01,31434.57,Hardware
PO-1083,BlueSky Corp Global Group,2025-06-04,22344.31,Services
PO-1084,Fast-Track Inc Global Group,2025-06-26,39405.43,Services
PO-1085,Alpha Mfg Global Group,2025-05-01,11576.47,Services
PO-1086,BlueSky Corp Global Group,2025-08-03,10144.68,Hardware
PO-1087,Zenith Supplies Global Group,2025-06-24,9870.58,Services
PO-1088,Titan Industrial Global Group,2025-09-02,10260.36,Services
PO-1089,Zenith Supplies Global Group,2025-11-14,29297.8,Raw Materials
PO-1090,Global Logistics Global Group,2025-08-16,18408.91,Raw Materials
PO-1091,Titan Industrial Global Group,2025-11-24,36430.82,Raw Materials
PO-1092,Alpha Mfg Global Group,2025-12-24,1450.25,Services
PO-1093,Fast-Track Inc Global Group,2025-09-04,4298.65,Hardware
PO-1094,Alpha Mfg Global Group,2026-01-24,13020.87,Services
PO-1095,Apex Solutions Global Group,2025-05-23,47283.11,Services
PO-1096,Alpha Mfg Global Group,2025-01-17,30017.5,Hardware
PO-1097,Apex Solutions Global Group,2025-11-14,41765.31,Hardware
PO-1098,BlueSky Corp Global Group,2025-02-04,16402.35,Services
PO-1099,Apex Solutions Global Group,2025-01-14,37666.26,Services
PO-1100,Global Logistics Global Group,2025-02-28,24378.53,Logistics
PO-1101,Unknown,2025-10-11,39394.95,Raw Materials
PO-1102,Apex Solutions Global Group,2025-05-19,44653.62,Services
PO-1103,Apex Solutions Global Group,2025-10-04,31170.77,Services
PO-1104,Apex Solutions Global Group,2026-02-01,25033.1,Hardware
PO-1105,Titan Industrial Global Group,2025-09-14,12785.57,Services
PO-1106,Titan Industrial Global Group,2025-01-28,28567.37,Hardware
PO-1107,Alpha Mfg Global Group,2025-01-06,49077.91,Services
PO-1108,BlueSky Corp Global Group,2025-04-18,7779.89,Services
PO-1109,Titan Industrial Global Group,2025-06-17,37745.57,Logistics
PO-1110,Global Logistics Global Group,2026-01-18,32835.56,Services
PO-1111,BlueSky Corp Global Group,2025-04-01,27672.21,Logistics
PO-1112,Zenith Supplies Global Group,2025-12-22,43092.29,Logistics
PO-1113,Fast-Track Inc Global Group,2025-06-15,48827.65,Raw Materials
PO-1114,Fast-Track Inc Global Group,2025-05-31,11065.35,Raw Materials
PO-1115,Fast-Track Inc Global Group,2026-01-27,20453.92,Raw Materials
PO-1116,Alpha Mfg Global Group,2025-01-21,21602.71,Raw Materials
PO-1117,Titan Industrial Global Group,2025-11-26,10756.37,Hardware
PO-1118,Zenith Supplies Global Group,2025-08-13,22903.31,Hardware
PO-1119,Alpha Mfg Global Group,2025-01-10,25877.7,Raw Materials
PO-1120,Apex Solutions Global Group,2025-07-18,2515.99,Services
PO-1121,Global Logistics Global Group,2025-09-29,5439.07,Hardware
PO-1122,Alpha Mfg Global Group,2025-09-27,48462.22,Raw Materials
PO-1123,Titan Industrial Global Group,2025-03-16,11264.69,Hardware
PO-1124,Titan Industrial Global Group,2025-09-05,30313.9,Hardware
PO-1125,Global Logistics Global Group,2025-12-08,40574.29,Services
PO-1126,Apex Solutions Global Group,2025-02-12,16514.5,Logistics
PO-1127,Global Logistics Global Group,2025-08-29,11837.52,Raw Materials
PO-1128,BlueSky Corp Global Group,2025-08-09,9594.78,Raw Materials
PO-1129,Global Logistics Global Group,2025-07-30,25781.33,Raw Materials
PO-1130,Zenith Supplies Global Group,2025-03-01,30994.45,Logistics
PO-1131,BlueSky Corp Global Group,2025-01-17,16565.37,Raw Materials
PO-1132,Apex Solutions Global Group,2025-01-30,29592.91,Services
PO-1133,Alpha Mfg Global Group,2025-12-16,34608.05,Services
PO-1134,Alpha Mfg Global Group,2025-09-08,14341.43,Services
PO-1135,BlueSky Corp Global Group,2025-04-08,25658.13,Raw Materials
PO-1136,Unknown,2025-04-26,1930.49,Logistics
PO-1137,Zenith Supplies Global Group,2025-07-15,14043.04,Raw Materials
PO-1138,Fast-Track Inc Global Group,2025-03-12,21952.31,Logistics
PO-1139,Zenith Supplies Global Group,2025-05-31,40532.89,Services
PO-1140,Alpha Mfg Global Group,2025-02-13,21926.71,Raw Materials
PO-1141,Titan Industrial Global Group,2025-01-03,23340.57,Logistics
PO-1142,BlueSky Corp Global Group,2025-10-08,35070.94,Raw Materials
PO-1143,BlueSky Corp Global Group,2025-06-29,24387.75,Hardware
PO-1144,Apex Solutions Global Group,2025-01-13,42477.47,Raw Materials
PO-1145,Alpha Mfg Global Group,2025-03-07,687.95,Logistics
PO-1146,BlueSky Corp Global Group,2025-03-21,32115.73,Services
PO-1147,Fast-Track Inc Global Group,2025-04-11,23799.16,Services
PO-1148,Zenith Supplies Global Group,2025-08-13,3348.62,Logistics
PO-1149,Fast-Track Inc Global Group,2026-01-15,27442.56,Hardware
PO-1150,Titan Industrial Global Group,2025-03-17,30017.66,Hardware
PO-1151,Fast-Track Inc Global Group,2025-04-08,38860.65,Services
PO-1152,Global Logistics Global Group,2025-07-27,18699.6,Hardware
PO-1153,Zenith Supplies Global Group,2025-12-09,44982.88,Logistics
PO-1154,Global Logistics Global Group,2025-06-09,31201.6,Logistics
PO-1155,Unknown,2025-02-22,6792.51,Logistics
PO-1156,Global Logistics Global Group,2025-03-22,1841.43,Hardware
PO-1157,Titan Industrial Global Group,2025-03-24,41515.85,Services
PO-1158,BlueSky Corp Global Group,2025-07-04,7532.48,Raw Materials
PO-1159,Fast-Track Inc Global Group,2026-01-17,6621.43,Services
PO-1160,Global Logistics Global Group,2025-07-10,37114.4,Logistics
PO-1161,Global Logistics Global Group,2025-01-08,3797.77,Services
PO-1162,Global Logistics Global Group,2025-03-22,15819.93,Hardware
PO-1163,Global Logistics Global Group,2025-01-13,16616.63,Logistics
PO-1164,Titan Industrial Global Group,2025-05-06,20211.63,Hardware
PO-1165,Apex Solutions Global Group,2025-10-18,17289.02,Raw Materials
PO-1166,BlueSky Corp Global Group,2025-04-12,23025.56,Services
PO-1167,Global Logistics Global Group,2025-06-24,16896.87,Logistics
PO-1168,Fast-Track Inc Global Group,2025-07-31,20576.93,Logistics
PO-1169,Zenith Supplies Global Group,2025-12-27,9229.37,Logistics
PO-1170,Zenith Supplies Global Group,2025-08-07,16396.34,Hardware
PO-1171,Titan Industrial Global Group,2025-11-24,16019.12,Raw Materials
PO-1172,Zenith Supplies Global Group,2025-08-11,10152.28,Raw Materials
PO-1173,Titan Industrial Global Group,2026-01-18,44890.04,Services
PO-1174,Zenith Supplies Global Group,2025-11-24,48983.45,Services
PO-1175,Apex Solutions Global Group,2025-08-10,10825.9,Raw Materials
PO-1176,Zenith Supplies Global Group,2025-12-03,36820.32,Logistics
PO-1177,Alpha Mfg Global Group,2025-04-18,20456.13,Logistics
PO-1178,Titan Industrial Global Group,2025-02-05,16758.91,Hardware
PO-1179,Titan Industrial Global Group,2025-11-18,1681.88,Hardware
PO-1180,Alpha Mfg Global Group,2025-09-22,46057.75,Raw Materials
PO-1181,Titan Industrial Global Group,2026-01-20,32976.67,Logistics
PO-1182,Global Logistics Global Group,2025-11-10,14567.48,Hardware
PO-1183,Zenith Supplies Global Group,2025-11-30,19240.13,Hardware
PO-1184,Apex Solutions Global Group,2025-01-28,28584.34,Services
PO-1185,Titan Industrial Global Group,2025-03-03,1093.14,Hardware
PO-1186,Zenith Supplies Global Group,2025-11-29,27937.85,Hardware
PO-1187,Global Logistics Global Group,2025-09-21,13845.65,Logistics
PO-1188,Titan Industrial Global Group,2025-04-22,36144.54,Raw Materials
PO-1189,Apex Solutions Global Group,2025-08-30,22850.67,Raw Materials
PO-1190,Titan Industrial Global Group,2025-11-12,11692.75,Logistics
PO-1191,Zenith Supplies Global Group,2025-09-16,9635.4,Services
PO-1192,Fast-Track Inc Global Group,2025-01-12,3092.65,Hardware
PO-1193,Zenith Supplies Global Group,2025-01-20,5810.66,Services
PO-1194,Fast-Track Inc Global Group,2026-01-28,42434.23,Services
PO-1195,Titan Industrial Global Group,2025-11-20,46932.64,Hardware
PO-1196,Apex Solutions Global Group,2026-02-04,11377.56,Logistics
PO-1197,Apex Solutions Global Group,2025-06-03,41203.22,Raw Materials
PO-1198,Zenith Supplies Global Group,2025-01-25,19255.67,Hardware
PO-1199,Titan Industrial Global Group,2025-07-29,26303.58,Logistics
PO-1200,Zenith Supplies Global Group,2025-09-29,43564.71,Services
PO-1096,Alpha Mfg Global Group,2025-01-17,30017.5,Hardware
PO-1016,Titan Industrial Global Group,2025-11-27,33122.25,Hardware
PO-1031,Alpha Mfg Global Group,2025-11-14,3881.71,Services
PO-1159,Fast-Track Inc Global Group,2026-01-17,6621.43,Services
PO-1129,Global Logistics Global Group,2025-07-30,25781.33,Raw Materials
PO-1116,Alpha Mfg Global Group,2025-01-21,21602.71,Raw Materials
PO-1070,Titan Industrial Global Group,2025-01-12,41761.99,Raw Materials
PO-1171,Titan Industrial Global Group,2025-11-24,16019.12,Raw Materials
PO-1175,Apex Solutions Global Group,2025-08-10,10825.9,Raw Materials
PO-1046,Zenith Supplies Global Group,2026-09-01,9232.76,Hardware
